scope,key,logical_character_id,assembly_group,type_or_category,name,visual_variant,state,is_primary,role_mesh_count,weapon_mesh_count,role_weapon_mesh_count,pet_mesh_count,summon_mesh_count,prop_mesh_count,incar_mesh_count,mesh_count_total,lod0_role_triangle_count,lod0_role_weapon_triangle_count,lod0_pet_triangle_count,lod0_summon_triangle_count,lod0_prop_triangle_count,lod0_incar_triangle_count,lod0_role_bone_count,lod0_role_weapon_bone_count,lod0_pet_bone_count,lod0_summon_bone_count,lod0_prop_bone_count,lod0_incar_bone_count,role_reference_bone_count,role_weapon_reference_bone_count,animation_count_core,animation_count_all,animation_total_seconds_core,animation_total_seconds_all,texture_count,texture_cube_count,maximum_lod_count,notes
character_bundle,Boss/AshleyBoss/Default,Boss/AshleyBoss,main,Boss,AshleyBoss,Default,Default,True,5,4,9,0,0,0,0,9,133816,179965,0,0,0,0,178,193,0,0,0,0,511,536,145,184,294.299998,495.066665,81,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Boss/AshleyBoss/InCar,Boss/AshleyBoss,extra,Boss,AshleyBoss,Default,InCar,False,0,0,0,0,0,0,8,8,0,0,0,0,0,489003,0,0,0,0,0,855,0,0,179,183,315.866667,377.966666,100,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Boss/ChavAlex/Default,Boss/ChavAlex,main,Boss,ChavAlex,Default,Default,True,3,3,6,0,0,0,0,6,66848,70398,0,0,0,0,153,163,0,0,0,0,277,300,113,113,342.783335,342.783335,41,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Boss/ChavBobo/Default,Boss/ChavBobo,main,Boss,ChavBobo,Default,Default,True,3,2,5,0,0,0,0,5,47335,51602,0,0,0,0,107,113,0,0,0,0,232,248,128,133,385.333335,405.833335,37,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Boss/ChavCaesar/Default,Boss/ChavCaesar,main,Boss,ChavCaesar,Default,Default,True,3,2,5,0,0,0,0,5,39511,41023,0,0,0,0,168,201,0,0,0,0,299,339,118,118,332.166668,332.166668,34,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Boss/EliteKnight/Default,Boss/EliteKnight,main,Boss,EliteKnight,Default,Default,True,1,5,6,0,0,0,0,6,132542,164739,0,0,0,0,226,246,0,0,0,0,334,378,71,71,237.766668,237.766668,33,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Boss/KnightStatue/Default,Boss/KnightStatue,main,Boss,KnightStatue,Default,Default,True,1,2,3,0,0,0,0,3,88674,112943,0,0,0,0,158,163,0,0,0,0,204,213,86,100,221.566667,266.166668,22,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Boss/KnightStatueScb/Default,Boss/KnightStatueScb,main,Boss,KnightStatueScb,Default,Default,True,1,0,1,0,0,0,0,1,148763,148763,0,0,0,0,393,393,0,0,0,0,464,464,94,100,282.333333,292.633333,22,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Boss/Manager/Default,Boss/Manager,main,Boss,Manager,Default,Default,True,1,7,8,0,0,0,0,8,90995,245101,0,0,0,0,272,389,0,0,0,0,437,582,104,150,383.449998,772.950004,15,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Boss/Paraffin/Default,Boss/Paraffin,main,Boss,Paraffin,Default,Default,True,4,0,4,0,0,0,0,4,109864,109864,0,0,0,0,322,322,0,0,0,0,474,474,202,239,546.783327,626.41666,16,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Boss/Predator/Default,Boss/Predator,main,Boss,Predator,Default,Default,True,1,0,1,0,0,0,0,1,98270,98270,0,0,0,0,229,229,0,0,0,0,308,308,90,90,212.566668,212.566668,14,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Boss/QuarterBack/Default,Boss/QuarterBack,main,Boss,QuarterBack,Default,Default,True,2,1,3,0,0,0,0,3,72269,77033,0,0,0,0,155,157,0,0,0,0,216,222,104,104,244.783334,244.783334,25,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Boss/RedBack/Default,Boss/RedBack,main,Boss,RedBack,Default,Default,True,1,1,2,0,0,0,0,2,74223,82393,0,0,0,0,226,235,0,0,0,0,299,312,94,143,265.783335,358.650002,32,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
character_bundle,Boss/RexBoss/Default,Boss/RexBoss,main,Boss,RexBoss,Default,Default,True,6,1,7,1,0,0,0,8,128361,141813,21988,0,0,0,133,133,169,0,0,0,307,307,156,264,522.250001,984.033331,67,,5,Hero Show 已排除；Role资源池与 Role+Weapon资源池分列；Pet/Summon/Prop/InCar 分列；空值表示不可用，不等于0
