mesh_path,mesh_name,mesh_class,exclusion_reason
SilverPalace/Content/ArtRes/EnvRes/BreakableAssets/Chaos/ParticleMesh/GC_Gen_Prop_Sign_Road_A_Merge_Metal_04_FX1_SM_100__100_.GC_Gen_Prop_Sign_Road_A_Merge_Metal_04_FX1_SM_100__100_,GC_Gen_Prop_Sign_Road_A_Merge_Metal_04_FX1_SM_100__100_,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/BreakableAssets/Chaos/ParticleMesh/GC_Gen_Prop_Sign_Road_A_Merge_Metal_04_FX1_SM_100__49_.GC_Gen_Prop_Sign_Road_A_Merge_Metal_04_FX1_SM_100__49_,GC_Gen_Prop_Sign_Road_A_Merge_Metal_04_FX1_SM_100__49_,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/BreakableAssets/Chaos/ParticleMesh/GC_Gen_Prop_Sign_Road_A_Merge_Metal_04_FX1_SM_100__77_.GC_Gen_Prop_Sign_Road_A_Merge_Metal_04_FX1_SM_100__77_,GC_Gen_Prop_Sign_Road_A_Merge_Metal_04_FX1_SM_100__77_,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/BreakableAssets/Chaos/ParticleMesh/GC_SM_PD_Box_Paper_A_Close_2_SM_25_.GC_SM_PD_Box_Paper_A_Close_2_SM_25_,GC_SM_PD_Box_Paper_A_Close_2_SM_25_,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/BreakableAssets/Chaos/ParticleMesh/GC_SM_PD_Box_Paper_A_Close_2_SM_6_.GC_SM_PD_Box_Paper_A_Close_2_SM_6_,GC_SM_PD_Box_Paper_A_Close_2_SM_6_,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/BreakableAssets/Chaos/ParticleMesh/GC_SM_PD_Box_Paper_A_Close_2_SM_9_.GC_SM_PD_Box_Paper_A_Close_2_SM_9_,GC_SM_PD_Box_Paper_A_Close_2_SM_9_,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/BreakableAssets/Chaos/ParticleMesh/GC_SM_PD_Dustbin_Street_A_Metal_2_SM_44_.GC_SM_PD_Dustbin_Street_A_Metal_2_SM_44_,GC_SM_PD_Dustbin_Street_A_Metal_2_SM_44_,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/BreakableAssets/Chaos/Static/GC_Prop_Sign_Road_A_Merge_Metal_04_FX2_SM_26_.GC_Prop_Sign_Road_A_Merge_Metal_04_FX2_SM_26_,GC_Prop_Sign_Road_A_Merge_Metal_04_FX2_SM_26_,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/BreakableAssets/Chaos/Static/GC_SM_Gen_Prop_Sign_Road_A_Merge_Metal_01_FX_SM_10_.GC_SM_Gen_Prop_Sign_Road_A_Merge_Metal_01_FX_SM_10_,GC_SM_Gen_Prop_Sign_Road_A_Merge_Metal_01_FX_SM_10_,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/BreakableAssets/Chaos/Static/GC_SM_Gen_Prop_Sign_Road_A_Merge_Metal_02_FX_SM_34_.GC_SM_Gen_Prop_Sign_Road_A_Merge_Metal_02_FX_SM_34_,GC_SM_Gen_Prop_Sign_Road_A_Merge_Metal_02_FX_SM_34_,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/BreakableAssets/Chaos/Static/GC_SM_Gen_Prop_Sign_Road_A_Merge_Metal_03_FX_SM_34_.GC_SM_Gen_Prop_Sign_Road_A_Merge_Metal_03_FX_SM_34_,GC_SM_Gen_Prop_Sign_Road_A_Merge_Metal_03_FX_SM_34_,StaticMesh,占位/白盒/破碎测试
SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Proxy/Trigger/Trigger_Dungeon_Airship_03.Trigger_Dungeon_Airship_03,Trigger_Dungeon_Airship_03,StaticMesh,碰撞/代理
SilverPalace/Content/ArtRes/EnvRes/Dungeon/Decal/Meshes/SM_Decal_Plane.SM_Decal_Plane,SM_Decal_Plane,StaticMesh,贴花
SilverPalace/Content/ArtRes/EnvRes/Dungeon/Decal/Meshes/SM_Dun_Decal_Plane_A01.SM_Dun_Decal_Plane_A01,SM_Dun_Decal_Plane_A01,StaticMesh,贴花
