category,mesh_path,mesh_name,mesh_class,lod_index,triangle_count,vertex_count
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01,StaticMesh,0,2802,
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01,StaticMesh,1,8564,8898
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01,StaticMesh,2,5382,5998
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01,StaticMesh,3,2710,3406
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01,StaticMesh,4,1276,1678
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01,StaticMesh,5,172,240
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02,StaticMesh,0,1066,
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02,StaticMesh,1,464,441
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02,StaticMesh,2,272,266
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02,StaticMesh,3,176,179
