category,mesh_path,mesh_name,mesh_class,lod_count,lod0_triangles,is_pcg_baked_fragment
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_01,StaticMesh,6,2802,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_02,StaticMesh,6,1066,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_03,StaticMesh,6,1211,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_04,StaticMesh,6,1596,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_05,StaticMesh,6,745,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_06,StaticMesh,6,346,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07.SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07,SM_Dungeon_Airship_In_BanquetHall_A_Arch_Stone_07,StaticMesh,6,329,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_BrokenFlower_Paper_01.SM_Dungeon_Airship_In_BanquetHall_A_BrokenFlower_Paper_01,SM_Dungeon_Airship_In_BanquetHall_A_BrokenFlower_Paper_01,StaticMesh,5,255,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_01,StaticMesh,6,3791,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Ceiling_Stone_02,StaticMesh,6,2984,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_01,StaticMesh,6,856,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_02,StaticMesh,6,560,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_03,StaticMesh,6,656,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_04.SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_04,SM_Dungeon_Airship_In_BanquetHall_A_Column_Stone_04,StaticMesh,6,729,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_01.SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_01,SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_01,StaticMesh,6,3399,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_02.SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_02,SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_02,StaticMesh,6,2605,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_03.SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_03,SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_03,StaticMesh,6,6118,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_04.SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_04,SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_04,StaticMesh,6,24646,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_05.SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_05,SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_05,StaticMesh,6,9175,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_06.SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_06,SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_06,StaticMesh,6,29522,false
大建筑,SilverPalace/Content/ArtRes/EnvRes/Dungeon/Airship/In/Dungeon_Airship_In_BanquetHall/Meshes/SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_07.SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_07,SM_Dungeon_Airship_In_BanquetHall_A_Curtains_Fabric_07,StaticMesh,6,3947,false
