category,width,height,resolution,texture_count
大建筑,2048,2048,2048×2048,52
大建筑,2048,1024,2048×1024,4
大建筑,1024,2048,1024×2048,2
大建筑,1024,1024,1024×1024,2032
大建筑,1024,512,1024×512,8
大建筑,512,1024,512×1024,1
大建筑,512,512,512×512,1324
大建筑,512,256,512×256,6
大建筑,256,512,256×512,1
大建筑,256,256,256×256,419
大建筑,128,128,128×128,44
大建筑,64,64,64×64,6
大建筑,32,32,32×32,2
大建筑,7,3,7×3,1
大建筑,5,3,5×3,1
大建筑,6,2,6×2,1
大建筑,2,2,2×2,2
大建筑,1,1,1×1,1
植被,1024,1024,1024×1024,55
植被,512,1024,512×1024,5
植被,512,512,512×512,124
植被,256,512,256×512,1
植被,256,256,256×256,79
植被,128,128,128×128,60
植被,64,64,64×64,17
植被,32,32,32×32,1
植被,23,21,23×21,2
植被,61,7,61×7,2
植被,189,2,189×2,2
植被,172,2,172×2,2
植被,61,5,61×5,2
植被,151,2,151×2,2
植被,139,2,139×2,2
植被,134,2,134×2,2
植被,131,2,131×2,2
植被,16,16,16×16,3
植被,124,2,124×2,2
植被,19,13,19×13,2
植被,77,3,77×3,2
植被,43,5,43×5,2
植被,71,3,71×3,2
植被,15,14,15×14,2
植被,104,2,104×2,2
植被,102,2,102×2,2
植被,29,7,29×7,2
植被,67,3,67×3,2
植被,100,2,100×2,2
植被,37,5,37×5,2
植被,92,2,92×2,2
植被,86,2,86×2,2
植被,82,2,82×2,2
植被,80,2,80×2,2
植被,74,2,74×2,2
植被,17,7,17×7,2
植被,39,3,39×3,2
植被,56,2,56×2,2
植被,11,10,11×10,2
植被,11,9,11×9,2
植被,19,5,19×5,2
植被,31,3,31×3,2
植被,46,2,46×2,2
植被,10,9,10×9,4
植被,44,2,44×2,2
植被,17,5,17×5,2
植被,10,8,10×8,2
植被,39,2,39×2,4
植被,38,2,38×2,2
植被,23,3,23×3,2
植被,13,5,13×5,2
植被,8,8,8×8,11
植被,9,7,9×7,4
植被,30,2,30×2,2
植被,27,2,27×2,2
植被,24,2,24×2,2
植被,8,6,8×6,6
植被,23,2,23×2,2
植被,22,2,22×2,2
植被,21,2,21×2,2
植被,7,6,7×6,2
植被,20,2,20×2,2
植被,19,2,19×2,2
植被,7,5,7×5,8
植被,11,3,11×3,2
植被,9,3,9×3,4
植被,13,2,13×2,4
植被,5,5,5×5,4
植被,12,2,12×2,4
植被,11,2,11×2,2
植被,7,3,7×3,2
植被,10,2,10×2,2
植被,5,4,5×4,2
植被,9,2,9×2,2
植被,8,2,8×2,2
植被,5,3,5×3,4
植被,7,2,7×2,2
植被,5,2,5×2,2
植被,8,1,8×1,2
植被,4,2,4×2,2
植被,2,2,2×2,2
植被,2,1,2×1,10
植被,1,1,1×1,4
其他,2048,2048,2048×2048,74
其他,2048,1024,2048×1024,5
其他,2048,512,2048×512,1
其他,1024,1024,1024×1024,2096
其他,1024,512,1024×512,82
其他,512,1024,512×1024,11
其他,1024,256,1024×256,11
其他,512,512,512×512,1472
其他,256,1024,256×1024,1
其他,1024,128,1024×128,7
其他,512,256,512×256,49
其他,256,512,256×512,4
其他,512,128,512×128,1
其他,256,256,256×256,1320
其他,512,64,512×64,1
其他,256,128,256×128,17
其他,128,256,128×256,1
其他,128,128,128×128,281
其他,128,64,128×64,13
其他,64,64,64×64,77
其他,32,32,32×32,6
其他,2,2,2×2,2
