category,texture_path,texture_name,texture_class,width,height,resolution,technical_path
大建筑,SilverPalace/Content/ArtRes/Common/Textures/Diffuse/T_DirtColor_01.T_DirtColor_01,T_DirtColor_01,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/Common/Textures/Masks/T_Linear_Strip.T_Linear_Strip,T_Linear_Strip,Texture2D,256,256,256×256,false
大建筑,SilverPalace/Content/ArtRes/Common/Textures/Noise/T_DirtMask_01.T_DirtMask_01,T_DirtMask_01,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/Common/Textures/Noise/T_InnerDirt.T_InnerDirt,T_InnerDirt,Texture2D,2048,2048,2048×2048,false
大建筑,SilverPalace/Content/ArtRes/Common/Textures/Noise/T_MacroVariation.T_MacroVariation,T_MacroVariation,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/Common/Textures/Noise/T_VoronoiNoise.T_VoronoiNoise,T_VoronoiNoise,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/Common/Textures/Normal/T_CrystalRefrectNormal1.T_CrystalRefrectNormal1,T_CrystalRefrectNormal1,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/Common/Textures/Normal/T_DirtNormal_01.T_DirtNormal_01,T_DirtNormal_01,Texture2D,1024,1024,1024×1024,false
大建筑,SilverPalace/Content/ArtRes/Common/Textures/Normal/T_Normal_18_N.T_Normal_18_N,T_Normal_18_N,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/Common/Textures/Normal/T_Normal_Crystal.T_Normal_Crystal,T_Normal_Crystal,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/Common/Textures/Normal/T_Normal_Crystal_NRM.T_Normal_Crystal_NRM,T_Normal_Crystal_NRM,Texture2D,256,256,256×256,false
大建筑,SilverPalace/Content/ArtRes/Common/Textures/Specular/T_DustCristal_02.T_DustCristal_02,T_DustCristal_02,Texture2D,512,512,512×512,false
大建筑,SilverPalace/Content/ArtRes/Common/Textures/Water/T_DetailWaveTexture_02.T_DetailWaveTexture_02,T_DetailWaveTexture_02,Texture2D,256,256,256×256,false
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Fire/T_FX_Fire_002_M.T_FX_Fire_002_M,T_FX_Fire_002_M,Texture2D,512,512,512×512,true
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Lava/T_FX_Noise_205.T_FX_Noise_205,T_FX_Noise_205,Texture2D,512,512,512×512,true
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Lava/T_FX_Noise_224_D.T_FX_Noise_224_D,T_FX_Noise_224_D,Texture2D,512,512,512×512,true
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Lava/T_FX_Noise_226_D.T_FX_Noise_226_D,T_FX_Noise_226_D,Texture2D,1024,1024,1024×1024,true
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Lava/T_FX_Noise_266.T_FX_Noise_266,T_FX_Noise_266,Texture2D,256,256,256×256,true
大建筑,SilverPalace/Content/ArtRes/EffectRes/Assets/Textures/Lava/T_FX_Noise_267.T_FX_Noise_267,T_FX_Noise_267,Texture2D,512,512,512×512,true
