category,bin_index,triangle_min,triangle_max_exclusive,bin_label,mesh_count
大建筑,0,0,500,0–499,1720
大建筑,1,500,1000,500–999,685
大建筑,2,1000,2000,"1k–1,999",676
大建筑,3,2000,5000,"2k–4,999",475
大建筑,4,5000,10000,"5k–9,999",134
大建筑,5,10000,20000,"10k–19,999",69
大建筑,6,20000,50000,"20k–49,999",36
大建筑,7,50000,100000,"50k–99,999",0
大建筑,8,100000,,100k+,3
植被,0,0,500,0–499,43
植被,1,500,1000,500–999,22
植被,2,1000,2000,"1k–1,999",42
植被,3,2000,5000,"2k–4,999",18
植被,4,5000,10000,"5k–9,999",16
植被,5,10000,20000,"10k–19,999",4
植被,6,20000,50000,"20k–49,999",0
植被,7,50000,100000,"50k–99,999",0
植被,8,100000,,100k+,0
其他,0,0,500,0–499,1109
其他,1,500,1000,500–999,470
其他,2,1000,2000,"1k–1,999",512
其他,3,2000,5000,"2k–4,999",475
其他,4,5000,10000,"5k–9,999",119
其他,5,10000,20000,"10k–19,999",56
其他,6,20000,50000,"20k–49,999",28
其他,7,50000,100000,"50k–99,999",3
其他,8,100000,,100k+,4
