assembly_id,lod_index,mesh_count,native_mesh_count,native_coverage,explicit_triangles,explicit_triangles_known_sum,explicit_triangles_complete,effective_triangles,effective_triangles_known_sum,effective_triangles_complete,role_triangles,weapon_triangles,pet_triangles,summon_triangles,prop_triangles,incar_triangles,active_bones_proxy,active_bones_proxy_complete,primary_role_active_bones,reference_bones_unique,reference_bones_complete,skeleton_asset_bones_unique,skeleton_asset_bones_complete
Boss/AshleyBoss/Default,0,9,9,1.0,179965,179965,true,179965,179965,true,133816,46149,,,,,193,true,178,536,true,537,true
Boss/AshleyBoss/Default,1,9,8,0.8888888888888888,70025,70025,true,79110,79110,true,60130,18980,,,,,193,true,178,536,true,537,true
Boss/AshleyBoss/Default,2,9,8,0.8888888888888888,33661,33661,true,42746,42746,true,34395,8351,,,,,193,true,178,536,true,537,true
Boss/AshleyBoss/Default,3,9,8,0.8888888888888888,11205,11205,true,20290,20290,true,17681,2609,,,,,186,true,178,536,true,537,true
Boss/AshleyBoss/Default,4,9,7,0.7777777777777778,3569,3569,true,12718,12718,true,11630,1088,,,,,181,true,174,536,true,537,true
Boss/AshleyBoss/InCar,0,8,8,1.0,489003,489003,true,489003,489003,true,,,,,,489003,855,true,501,1654,true,1654,true
Boss/AshleyBoss/InCar,1,8,8,1.0,215772,215772,true,215772,215772,true,,,,,,215772,855,true,501,1654,true,1654,true
Boss/AshleyBoss/InCar,2,8,8,1.0,119996,119996,true,119996,119996,true,,,,,,119996,851,true,497,1654,true,1654,true
Boss/AshleyBoss/InCar,3,8,8,1.0,58946,58946,true,58946,58946,true,,,,,,58946,822,true,491,1654,true,1654,true
Boss/AshleyBoss/InCar,4,8,8,1.0,39399,39399,true,39399,39399,true,,,,,,39399,740,true,464,1654,true,1654,true
Boss/ChavAlex/Default,0,6,6,1.0,70398,70398,true,70398,70398,true,66848,3550,,,,,163,true,153,300,true,300,true
Boss/ChavAlex/Default,1,6,6,1.0,34870,34870,true,34870,34870,true,33139,1731,,,,,163,true,153,300,true,300,true
Boss/ChavAlex/Default,2,6,6,1.0,17610,17610,true,17610,17610,true,16816,794,,,,,163,true,153,300,true,300,true
Boss/ChavAlex/Default,3,6,6,1.0,7852,7852,true,7852,7852,true,7621,231,,,,,163,true,153,300,true,300,true
Boss/ChavAlex/Default,4,6,6,1.0,2423,2423,true,2423,2423,true,2353,70,,,,,157,true,147,300,true,300,true
Boss/ChavBobo/Default,0,5,5,1.0,51602,51602,true,51602,51602,true,47335,4267,,,,,113,true,107,248,true,249,true
Boss/ChavBobo/Default,1,5,5,1.0,26377,26377,true,26377,26377,true,24360,2017,,,,,113,true,107,248,true,249,true
Boss/ChavBobo/Default,2,5,5,1.0,14997,14997,true,14997,14997,true,13941,1056,,,,,113,true,107,248,true,249,true
Boss/ChavBobo/Default,3,5,5,1.0,5341,5341,true,5341,5341,true,5044,297,,,,,113,true,107,248,true,249,true
Boss/ChavBobo/Default,4,5,5,1.0,2094,2094,true,2094,2094,true,1933,161,,,,,113,true,107,248,true,249,true
Boss/ChavCaesar/Default,0,5,5,1.0,41023,41023,true,41023,41023,true,39511,1512,,,,,201,true,168,339,true,342,true
Boss/ChavCaesar/Default,1,5,5,1.0,21476,21476,true,21476,21476,true,20764,712,,,,,201,true,168,339,true,342,true
Boss/ChavCaesar/Default,2,5,5,1.0,15528,15528,true,15528,15528,true,15113,415,,,,,201,true,168,339,true,342,true
Boss/ChavCaesar/Default,3,5,5,1.0,5925,5925,true,5925,5925,true,5814,111,,,,,201,true,168,339,true,342,true
Boss/ChavCaesar/Default,4,5,5,1.0,2380,2380,true,2380,2380,true,2352,28,,,,,181,true,168,339,true,342,true
Boss/EliteKnight/Default,0,6,6,1.0,164739,164739,true,164739,164739,true,132542,32197,,,,,246,true,226,378,true,379,true
Boss/EliteKnight/Default,1,6,6,1.0,65887,65887,true,65887,65887,true,53016,12871,,,,,246,true,226,378,true,379,true
Boss/EliteKnight/Default,2,6,6,1.0,32936,32936,true,32936,32936,true,26507,6429,,,,,246,true,226,378,true,379,true
Boss/EliteKnight/Default,3,6,6,1.0,9874,9874,true,9874,9874,true,7952,1922,,,,,246,true,226,378,true,379,true
Boss/EliteKnight/Default,4,6,6,1.0,2956,2956,true,2956,2956,true,2385,571,,,,,210,true,193,378,true,379,true
Boss/KnightStatue/Default,0,3,3,1.0,112943,112943,true,112943,112943,true,88674,24269,,,,,163,true,158,213,true,213,true
Boss/KnightStatue/Default,1,3,3,1.0,50987,50987,true,50987,50987,true,39905,11082,,,,,163,true,158,213,true,213,true
Boss/KnightStatue/Default,2,3,3,1.0,27482,27482,true,27482,27482,true,21946,5536,,,,,163,true,158,213,true,213,true
Boss/KnightStatue/Default,3,3,3,1.0,10435,10435,true,10435,10435,true,8778,1657,,,,,163,true,158,213,true,213,true
Boss/KnightStatue/Default,4,3,3,1.0,1972,1972,true,1972,1972,true,1482,490,,,,,161,true,156,213,true,213,true
Boss/KnightStatueScb/Default,0,1,1,1.0,148763,148763,true,148763,148763,true,148763,,,,,,393,true,393,464,true,464,true
Boss/KnightStatueScb/Default,1,1,1,1.0,69403,69403,true,69403,69403,true,69403,,,,,,393,true,393,464,true,464,true
Boss/KnightStatueScb/Default,2,1,1,1.0,36668,36668,true,36668,36668,true,36668,,,,,,393,true,393,464,true,464,true
Boss/KnightStatueScb/Default,3,1,1,1.0,13566,13566,true,13566,13566,true,13566,,,,,,392,true,392,464,true,464,true
Boss/KnightStatueScb/Default,4,1,1,1.0,2981,2981,true,2981,2981,true,2981,,,,,,379,true,379,464,true,464,true
Boss/Manager/Default,0,8,8,1.0,245101,245101,true,245101,245101,true,90995,154106,,,,,389,true,272,582,true,582,true
Boss/Manager/Default,1,8,8,1.0,114762,114762,true,114762,114762,true,52680,62082,,,,,389,true,272,582,true,582,true
Boss/Manager/Default,2,8,8,1.0,63640,63640,true,63640,63640,true,32618,31022,,,,,389,true,272,582,true,582,true
Boss/Manager/Default,3,8,8,1.0,21265,21265,true,21265,21265,true,11531,9734,,,,,380,true,267,582,true,582,true
Boss/Manager/Default,4,8,8,1.0,7105,7105,true,7105,7105,true,4133,2972,,,,,367,true,260,582,true,582,true
Boss/Paraffin/Default,0,4,4,1.0,109864,109864,true,109864,109864,true,109864,,,,,,322,true,132,474,true,474,true
Boss/Paraffin/Default,1,4,4,1.0,43937,43937,true,43937,43937,true,43937,,,,,,322,true,132,474,true,474,true
Boss/Paraffin/Default,2,4,4,1.0,21964,21964,true,21964,21964,true,21964,,,,,,322,true,132,474,true,474,true
Boss/Paraffin/Default,3,4,4,1.0,6585,6585,true,6585,6585,true,6585,,,,,,320,true,131,474,true,474,true
Boss/Paraffin/Default,4,4,4,1.0,1971,1971,true,1971,1971,true,1971,,,,,,286,true,120,474,true,474,true
Boss/Predator/Default,0,1,1,1.0,98270,98270,true,98270,98270,true,98270,,,,,,229,true,229,308,true,331,true
Boss/Predator/Default,1,1,1,1.0,39858,39858,true,39858,39858,true,39858,,,,,,229,true,229,308,true,331,true
Boss/Predator/Default,2,1,1,1.0,20216,20216,true,20216,20216,true,20216,,,,,,229,true,229,308,true,331,true
Boss/Predator/Default,3,1,1,1.0,6023,6023,true,6023,6023,true,6023,,,,,,220,true,220,308,true,331,true
Boss/Predator/Default,4,1,1,1.0,2105,2105,true,2105,2105,true,2105,,,,,,217,true,217,308,true,331,true
Boss/QuarterBack/Default,0,3,3,1.0,77033,77033,true,77033,77033,true,72269,4764,,,,,157,true,155,222,true,235,true
Boss/QuarterBack/Default,1,3,3,1.0,36061,36061,true,36061,36061,true,34157,1904,,,,,157,true,155,222,true,235,true
Boss/QuarterBack/Default,2,3,3,1.0,19653,19653,true,19653,19653,true,18702,951,,,,,157,true,155,222,true,235,true
Boss/QuarterBack/Default,3,3,3,1.0,7486,7486,true,7486,7486,true,7201,285,,,,,152,true,150,222,true,235,true
Boss/QuarterBack/Default,4,3,3,1.0,2226,2226,true,2226,2226,true,2142,84,,,,,149,true,147,222,true,235,true
Boss/RedBack/Default,0,2,2,1.0,82393,82393,true,82393,82393,true,74223,8170,,,,,235,true,226,312,true,312,true
Boss/RedBack/Default,1,2,2,1.0,43444,43444,true,43444,43444,true,40177,3267,,,,,235,true,226,312,true,312,true
Boss/RedBack/Default,2,2,2,1.0,20468,20468,true,20468,20468,true,19864,604,,,,,234,true,226,312,true,312,true
Boss/RedBack/Default,3,2,2,1.0,14602,14602,true,14602,14602,true,6434,8168,,,,,231,true,222,312,true,312,true
Boss/RedBack/Default,4,2,2,1.0,10741,10741,true,10741,10741,true,2573,8168,,,,,210,true,201,312,true,312,true
Boss/RexBoss/Default,0,8,8,1.0,163801,163801,true,163801,163801,true,128361,13452,21988,,,,302,true,133,511,true,511,true
Boss/RexBoss/Default,1,8,7,0.875,76115,76115,true,81521,81521,true,66644,5380,9497,,,,300,true,133,511,true,511,true
Boss/RexBoss/Default,2,8,7,0.875,38859,38859,true,44265,44265,true,35613,2688,5964,,,,300,true,133,511,true,511,true
Boss/RexBoss/Default,3,8,7,0.875,12958,12958,true,18364,18364,true,15294,806,2264,,,,297,true,133,511,true,511,true
Boss/RexBoss/Default,4,8,7,0.875,4189,4189,true,9595,9595,true,8467,240,888,,,,288,true,133,511,true,511,true
Boss/Supervisor/Default,0,7,7,1.0,226701,226701,true,226701,226701,true,125417,101284,,,,,274,true,226,414,true,423,true
Boss/Supervisor/Default,1,7,7,1.0,116150,116150,true,116150,116150,true,73890,42260,,,,,273,true,226,414,true,423,true
Boss/Supervisor/Default,2,7,7,1.0,60721,60721,true,60721,60721,true,39453,21268,,,,,273,true,226,414,true,423,true
Boss/Supervisor/Default,3,7,7,1.0,18872,18872,true,18872,18872,true,12528,6344,,,,,272,true,225,414,true,423,true
Boss/Supervisor/Default,4,7,7,1.0,5298,5298,true,5298,5298,true,3482,1816,,,,,243,true,203,414,true,423,true
Boss/Vulture/Default,0,1,1,1.0,116707,116707,true,116707,116707,true,116707,,,,,,354,true,354,481,true,586,true
Boss/Vulture/Default,1,1,1,1.0,57490,57490,true,57490,57490,true,57490,,,,,,352,true,352,481,true,586,true
Boss/Vulture/Default,2,1,1,1.0,29396,29396,true,29396,29396,true,29396,,,,,,352,true,352,481,true,586,true
Boss/Vulture/Default,3,1,1,1.0,9083,9083,true,9083,9083,true,9083,,,,,,348,true,348,481,true,586,true
Boss/Vulture/Default,4,1,1,1.0,2861,2861,true,2861,2861,true,2861,,,,,,339,true,339,481,true,586,true
Hero/Alf/Default/Combat,0,8,8,1.0,148129,148129,true,148129,148129,true,95372,52757,,,,,286,true,199,538,true,538,true
Hero/Alf/Default/Combat,1,8,8,1.0,66862,66862,true,66862,66862,true,45472,21390,,,,,285,true,199,538,true,538,true
Hero/Alf/Default/Combat,2,8,8,1.0,39327,39327,true,39327,39327,true,21536,17791,,,,,285,true,199,538,true,538,true
Hero/Alf/Default/Combat,3,8,8,1.0,17288,17288,true,17288,17288,true,6342,10946,,,,,279,true,199,538,true,538,true
