assembly_id,category,logical_character_id,visual_variant,state,component,mesh_path,mesh_name,mesh_class,lod_count,lod0_triangles,skeleton_path,reference_bone_count
Boss/AshleyBoss/Default,Boss,Boss/AshleyBoss,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/Role/SK_AshleyBoss_Body01.SK_AshleyBoss_Body01,SK_AshleyBoss_Body01,SkeletalMesh,5,73472,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/Role/SK_AshleyBoss_Body01_Skeleton.SK_AshleyBoss_Body01_Skeleton,511
Boss/AshleyBoss/Default,Boss,Boss/AshleyBoss,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/Role/SK_AshleyBoss_Face01.SK_AshleyBoss_Face01,SK_AshleyBoss_Face01,SkeletalMesh,5,7679,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/Role/SK_AshleyBoss_Body01_Skeleton.SK_AshleyBoss_Body01_Skeleton,511
Boss/AshleyBoss/Default,Boss,Boss/AshleyBoss,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/Role/SK_AshleyBoss_Hair01.SK_AshleyBoss_Hair01,SK_AshleyBoss_Hair01,SkeletalMesh,5,37988,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/Role/SK_AshleyBoss_Body01_Skeleton.SK_AshleyBoss_Body01_Skeleton,511
Boss/AshleyBoss/Default,Boss,Boss/AshleyBoss,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/Role/SK_AshleyBoss_Hat01.SK_AshleyBoss_Hat01,SK_AshleyBoss_Hat01,SkeletalMesh,5,5592,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/Role/SK_AshleyBoss_Body01_Skeleton.SK_AshleyBoss_Body01_Skeleton,511
Boss/AshleyBoss/Default,Boss,Boss/AshleyBoss,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/Role/SK_AshleyBoss_U_Face01.SK_AshleyBoss_U_Face01,SK_AshleyBoss_U_Face01,SkeletalMesh,1,9085,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/Role/SK_AshleyBoss_Body01_Skeleton.SK_AshleyBoss_Body01_Skeleton,511
Boss/AshleyBoss/Default,Boss,Boss/AshleyBoss,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/Weapon/SK_AshleyBoss_MachineGun01.SK_AshleyBoss_MachineGun01,SK_AshleyBoss_MachineGun01,SkeletalMesh,5,19995,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/Weapon/SK_AshleyBoss_MachineGun01_Skeleton.SK_AshleyBoss_MachineGun01_Skeleton,16
Boss/AshleyBoss/Default,Boss,Boss/AshleyBoss,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/Weapon/SK_AshleyBoss_Sword01.SK_AshleyBoss_Sword01,SK_AshleyBoss_Sword01,SkeletalMesh,5,22014,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/Role/SK_AshleyBoss_Body01_Skeleton.SK_AshleyBoss_Body01_Skeleton,511
Boss/AshleyBoss/Default,Boss,Boss/AshleyBoss,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/Weapon/SK_AshleyBoss_Sword02.SK_AshleyBoss_Sword02,SK_AshleyBoss_Sword02,SkeletalMesh,5,3634,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/Weapon/SK_AshleyBoss_Sword02_Skeleton.SK_AshleyBoss_Sword02_Skeleton,9
Boss/AshleyBoss/Default,Boss,Boss/AshleyBoss,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/Weapon/SM_AshleyBoss_MachineGun01_BulletShell.SM_AshleyBoss_MachineGun01_BulletShell,SM_AshleyBoss_MachineGun01_BulletShell,StaticMesh,4,506,,
Boss/AshleyBoss/InCar,Boss,Boss/AshleyBoss,Default,InCar,InCar,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/InCar/SK_AshleyBossInCar_01.SK_AshleyBossInCar_01,SK_AshleyBossInCar_01,SkeletalMesh,5,163872,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/InCar/SK_AshleyBossInCar_01_Skeleton.SK_AshleyBossInCar_01_Skeleton,888
Boss/AshleyBoss/InCar,Boss,Boss/AshleyBoss,Default,InCar,InCar,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/InCar/SK_AshleyBossInCar_02.SK_AshleyBossInCar_02,SK_AshleyBossInCar_02,SkeletalMesh,5,171780,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/InCar/SK_AshleyBossInCar_02_Skeleton.SK_AshleyBossInCar_02_Skeleton,543
Boss/AshleyBoss/InCar,Boss,Boss/AshleyBoss,Default,InCar,InCar,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/InCar/SK_AshleyBossInCar_03.SK_AshleyBossInCar_03,SK_AshleyBossInCar_03,SkeletalMesh,5,136328,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/InCar/SK_AshleyBossInCar_03_Skeleton.SK_AshleyBossInCar_03_Skeleton,164
Boss/AshleyBoss/InCar,Boss,Boss/AshleyBoss,Default,InCar,InCar,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/InCar/SK_AshleyBossInCar_Bomb02.SK_AshleyBossInCar_Bomb02,SK_AshleyBossInCar_Bomb02,SkeletalMesh,5,2834,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/InCar/SK_AshleyDefault_PumpkinCar01_Bomb02_Skeleton.SK_AshleyDefault_PumpkinCar01_Bomb02_Skeleton,17
Boss/AshleyBoss/InCar,Boss,Boss/AshleyBoss,Default,InCar,InCar,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/InCar/SK_AshleyBossInCar_Bomb03.SK_AshleyBossInCar_Bomb03,SK_AshleyBossInCar_Bomb03,SkeletalMesh,5,6391,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/InCar/SK_AshleyDefault_PumpkinCar01_Bomb03_Skeleton.SK_AshleyDefault_PumpkinCar01_Bomb03_Skeleton,42
Boss/AshleyBoss/InCar,Boss,Boss/AshleyBoss,Default,InCar,InCar,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/InCar/SM_AshleyBossInCar_Bomb01.SM_AshleyBossInCar_Bomb01,SM_AshleyBossInCar_Bomb01,StaticMesh,5,3524,,
Boss/AshleyBoss/InCar,Boss,Boss/AshleyBoss,Default,InCar,InCar,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/InCar/SM_AshleyBossInCar_Bomb02.SM_AshleyBossInCar_Bomb02,SM_AshleyBossInCar_Bomb02,StaticMesh,5,2834,,
Boss/AshleyBoss/InCar,Boss,Boss/AshleyBoss,Default,InCar,InCar,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Meshes/InCar/SM_AshleyBossInCar_Bomb04.SM_AshleyBossInCar_Bomb04,SM_AshleyBossInCar_Bomb04,StaticMesh,5,1440,,
Boss/ChavAlex/Default,Boss,Boss/ChavAlex,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/ChavAlex/Role/Meshes/SK_ChavAlex01_Body01.SK_ChavAlex01_Body01,SK_ChavAlex01_Body01,SkeletalMesh,5,51407,SilverPalace/Content/ArtRes/CharRes/Boss/ChavAlex/Role/Meshes/SK_ChavAlex01_Body01_Skeleton.SK_ChavAlex01_Body01_Skeleton,277
Boss/ChavAlex/Default,Boss,Boss/ChavAlex,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/ChavAlex/Role/Meshes/SK_ChavAlex01_Face01.SK_ChavAlex01_Face01,SK_ChavAlex01_Face01,SkeletalMesh,5,4250,SilverPalace/Content/ArtRes/CharRes/Boss/ChavAlex/Role/Meshes/SK_ChavAlex01_Body01_Skeleton.SK_ChavAlex01_Body01_Skeleton,277
Boss/ChavAlex/Default,Boss,Boss/ChavAlex,Default,Default,Role,SilverPalace/Content/ArtRes/CharRes/Boss/ChavAlex/Role/Meshes/SK_ChavAlex01_Hair01.SK_ChavAlex01_Hair01,SK_ChavAlex01_Hair01,SkeletalMesh,5,11191,SilverPalace/Content/ArtRes/CharRes/Boss/ChavAlex/Role/Meshes/SK_ChavAlex01_Body01_Skeleton.SK_ChavAlex01_Body01_Skeleton,277
Boss/ChavAlex/Default,Boss,Boss/ChavAlex,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/ChavAlex/Weapon/Meshes/SK_ChavAlex01_Baseball01.SK_ChavAlex01_Baseball01,SK_ChavAlex01_Baseball01,SkeletalMesh,5,976,SilverPalace/Content/ArtRes/CharRes/Boss/ChavAlex/Weapon/Meshes/SK_ChavAlex01_Baseball01_Skeleton.SK_ChavAlex01_Baseball01_Skeleton,6
Boss/ChavAlex/Default,Boss,Boss/ChavAlex,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/ChavAlex/Weapon/Meshes/SK_ChavAlex01_Shield01.SK_ChavAlex01_Shield01,SK_ChavAlex01_Shield01,SkeletalMesh,5,360,SilverPalace/Content/ArtRes/CharRes/Boss/ChavAlex/Weapon/Meshes/SK_ChavAlex01_Shield01_Skeleton.SK_ChavAlex01_Shield01_Skeleton,6
Boss/ChavAlex/Default,Boss,Boss/ChavAlex,Default,Default,Weapon,SilverPalace/Content/ArtRes/CharRes/Boss/ChavAlex/Weapon/Meshes/SK_ChavAlex01_Stick01.SK_ChavAlex01_Stick01,SK_ChavAlex01_Stick01,SkeletalMesh,5,2214,SilverPalace/Content/ArtRes/CharRes/Boss/ChavAlex/Weapon/Meshes/SK_ChavAlex01_Stick01_Skeleton.SK_ChavAlex01_Stick01_Skeleton,11
