assembly_id,category,logical_character_id,display_name,visual_root,visual_variant,state,assembly_kind,mesh_count,skeletal_mesh_count,static_mesh_count,role_mesh_count,weapon_mesh_count,pet_mesh_count,summon_mesh_count,prop_mesh_count,state_mesh_count,maximum_lod_count,unique_skeleton_count,reference_bones_unique,skeleton_asset_bones_unique,animation_count_all,animation_duration_all_seconds,animation_count_core,animation_duration_core_seconds,material_package_count,texture_count
Boss/AshleyBoss/Default,Boss,Boss/AshleyBoss,AshleyBoss,Boss/AshleyBoss,Default,Default,character_assembly,9,8,1,5,4,0,0,0,0,5,3,536,537,184,495.06666517071426,145,294.29999822191894,21,81
Boss/AshleyBoss/InCar,Boss,Boss/AshleyBoss,AshleyBoss,Boss/AshleyBoss,Default,InCar,character_assembly,8,5,3,0,0,0,0,0,8,5,5,1654,1654,183,377.966665931046,179,315.8666665032506,28,100
Boss/ChavAlex/Default,Boss,Boss/ChavAlex,ChavAlex,Boss/ChavAlex,Default,Default,character_assembly,6,6,0,3,3,0,0,0,0,5,4,300,300,113,342.78333520516753,113,342.78333520516753,10,41
Boss/ChavBobo/Default,Boss,Boss/ChavBobo,ChavBobo,Boss/ChavBobo,Default,Default,character_assembly,5,5,0,3,2,0,0,0,0,5,3,248,249,133,405.83333482965827,128,385.3333345912397,10,37
Boss/ChavCaesar/Default,Boss,Boss/ChavCaesar,ChavCaesar,Boss/ChavCaesar,Default,Default,character_assembly,5,5,0,3,2,0,0,0,0,5,3,339,342,118,332.16666820272803,118,332.16666820272803,10,34
Boss/EliteKnight/Default,Boss,Boss/EliteKnight,EliteKnight,Boss/EliteKnight,Default,Default,character_assembly,6,6,0,1,5,0,0,0,0,5,6,378,379,71,237.76666773483157,71,237.76666773483157,8,33
Boss/KnightStatue/Default,Boss,Boss/KnightStatue,KnightStatue,Boss/KnightStatue,Default,Default,character_assembly,3,3,0,1,2,0,0,0,0,5,3,213,213,100,266.1666679047048,86,221.5666671656072,7,22
Boss/KnightStatueScb/Default,Boss,Boss/KnightStatueScb,KnightStatueScb,Boss/KnightStatueScb,Default,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,464,464,100,292.63333329185843,94,282.33333333954215,6,22
Boss/Manager/Default,Boss,Boss/Manager,Manager,Boss/Manager,Default,Default,character_assembly,8,8,0,1,7,0,0,0,0,5,8,582,582,150,772.9500040598214,104,383.44999750331044,6,15
Boss/Paraffin/Default,Boss,Boss/Paraffin,Paraffin,Boss/Paraffin,Default,Default,character_assembly,4,4,0,4,0,0,0,0,0,5,4,474,474,239,626.4166600126773,202,546.7833268661052,7,16
Boss/Predator/Default,Boss,Boss/Predator,Predator,Boss/Predator,Default,Default,character_assembly,1,1,0,1,0,0,0,0,0,5,1,308,331,90,212.5666675567627,90,212.5666675567627,4,14
