assembly_id,logical_character_id,width,height,resolution,texture_count
Boss/AshleyBoss/Default,Boss/AshleyBoss,2048,2048,2048×2048,17
Boss/AshleyBoss/Default,Boss/AshleyBoss,1024,1024,1024×1024,20
Boss/AshleyBoss/Default,Boss/AshleyBoss,1024,512,1024×512,2
Boss/AshleyBoss/Default,Boss/AshleyBoss,512,512,512×512,25
Boss/AshleyBoss/Default,Boss/AshleyBoss,512,256,512×256,3
Boss/AshleyBoss/Default,Boss/AshleyBoss,256,256,256×256,7
Boss/AshleyBoss/Default,Boss/AshleyBoss,256,128,256×128,1
Boss/AshleyBoss/Default,Boss/AshleyBoss,128,128,128×128,4
Boss/AshleyBoss/Default,Boss/AshleyBoss,64,64,64×64,1
Boss/AshleyBoss/Default,Boss/AshleyBoss,1,1,1×1,1
Boss/AshleyBoss/InCar,Boss/AshleyBoss,2048,2048,2048×2048,17
Boss/AshleyBoss/InCar,Boss/AshleyBoss,1024,1024,1024×1024,28
Boss/AshleyBoss/InCar,Boss/AshleyBoss,1024,512,1024×512,4
Boss/AshleyBoss/InCar,Boss/AshleyBoss,512,512,512×512,31
Boss/AshleyBoss/InCar,Boss/AshleyBoss,512,256,512×256,4
Boss/AshleyBoss/InCar,Boss/AshleyBoss,256,256,256×256,9
Boss/AshleyBoss/InCar,Boss/AshleyBoss,256,128,256×128,1
Boss/AshleyBoss/InCar,Boss/AshleyBoss,128,128,128×128,4
Boss/AshleyBoss/InCar,Boss/AshleyBoss,64,64,64×64,1
Boss/AshleyBoss/InCar,Boss/AshleyBoss,1,1,1×1,1
Boss/ChavAlex/Default,Boss/ChavAlex,2048,2048,2048×2048,7
Boss/ChavAlex/Default,Boss/ChavAlex,1024,1024,1024×1024,10
Boss/ChavAlex/Default,Boss/ChavAlex,1024,512,1024×512,2
Boss/ChavAlex/Default,Boss/ChavAlex,512,512,512×512,12
Boss/ChavAlex/Default,Boss/ChavAlex,512,256,512×256,2
Boss/ChavAlex/Default,Boss/ChavAlex,256,256,256×256,5
Boss/ChavAlex/Default,Boss/ChavAlex,128,128,128×128,2
Boss/ChavAlex/Default,Boss/ChavAlex,64,64,64×64,1
Boss/ChavBobo/Default,Boss/ChavBobo,2048,2048,2048×2048,6
Boss/ChavBobo/Default,Boss/ChavBobo,1024,1024,1024×1024,9
Boss/ChavBobo/Default,Boss/ChavBobo,512,512,512×512,11
Boss/ChavBobo/Default,Boss/ChavBobo,512,256,512×256,2
Boss/ChavBobo/Default,Boss/ChavBobo,256,256,256×256,5
Boss/ChavBobo/Default,Boss/ChavBobo,256,128,256×128,2
Boss/ChavBobo/Default,Boss/ChavBobo,128,128,128×128,1
Boss/ChavBobo/Default,Boss/ChavBobo,64,64,64×64,1
Boss/ChavCaesar/Default,Boss/ChavCaesar,2048,2048,2048×2048,4
Boss/ChavCaesar/Default,Boss/ChavCaesar,1024,1024,1024×1024,9
Boss/ChavCaesar/Default,Boss/ChavCaesar,1024,512,1024×512,2
Boss/ChavCaesar/Default,Boss/ChavCaesar,512,512,512×512,10
Boss/ChavCaesar/Default,Boss/ChavCaesar,512,256,512×256,2
Boss/ChavCaesar/Default,Boss/ChavCaesar,256,256,256×256,5
Boss/ChavCaesar/Default,Boss/ChavCaesar,128,128,128×128,1
Boss/ChavCaesar/Default,Boss/ChavCaesar,64,64,64×64,1
Boss/EliteKnight/Default,Boss/EliteKnight,2048,2048,2048×2048,9
Boss/EliteKnight/Default,Boss/EliteKnight,1024,1024,1024×1024,16
Boss/EliteKnight/Default,Boss/EliteKnight,512,512,512×512,8
Boss/KnightStatue/Default,Boss/KnightStatue,2048,2048,2048×2048,10
Boss/KnightStatue/Default,Boss/KnightStatue,1024,1024,1024×1024,6
Boss/KnightStatue/Default,Boss/KnightStatue,512,512,512×512,3
Boss/KnightStatue/Default,Boss/KnightStatue,256,256,256×256,2
Boss/KnightStatue/Default,Boss/KnightStatue,1024,32,1024×32,1
