assembly_id,logical_character_id,texture_path,texture_name,texture_class,width,height,resolution,pixels
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Textures/Role/T_AshleyBoss01_Face_A01_SDF.T_AshleyBoss01_Face_A01_SDF,T_AshleyBoss01_Face_A01_SDF,Texture2D,1024,1024,1024×1024,1048576
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Textures/Role/T_AshleyBoss01_Face_A01_Specular.T_AshleyBoss01_Face_A01_Specular,T_AshleyBoss01_Face_A01_Specular,Texture2D,512,512,512×512,262144
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Textures/Role/T_AshleyBoss01_Hair_A01_OSMaskPS.T_AshleyBoss01_Hair_A01_OSMaskPS,T_AshleyBoss01_Hair_A01_OSMaskPS,Texture2D,512,512,512×512,262144
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Textures/Role/T_AshleyBoss01_Pupil_A01_Caustic.T_AshleyBoss01_Pupil_A01_Caustic,T_AshleyBoss01_Pupil_A01_Caustic,Texture2D,256,256,256×256,65536
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Textures/Role/T_AshleyBoss01_Pupil_A01_D.T_AshleyBoss01_Pupil_A01_D,T_AshleyBoss01_Pupil_A01_D,Texture2D,512,512,512×512,262144
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Textures/Role/T_AshleyBoss01_Pupil_A01_D_LOD.T_AshleyBoss01_Pupil_A01_D_LOD,T_AshleyBoss01_Pupil_A01_D_LOD,Texture2D,256,256,256×256,65536
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Textures/Role/T_AshleyBoss01_Pupil_A01_E.T_AshleyBoss01_Pupil_A01_E,T_AshleyBoss01_Pupil_A01_E,Texture2D,256,256,256×256,65536
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Textures/Role/T_AshleyBoss01_Pupil_A01_MC.T_AshleyBoss01_Pupil_A01_MC,T_AshleyBoss01_Pupil_A01_MC,Texture2D,128,128,128×128,16384
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Textures/Role/T_AshleyBoss01_Pupil_A01_N.T_AshleyBoss01_Pupil_A01_N,T_AshleyBoss01_Pupil_A01_N,Texture2D,64,64,64×64,4096
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Textures/Role/T_AshleyBoss01_Shoes_A01_Depth.T_AshleyBoss01_Shoes_A01_Depth,T_AshleyBoss01_Shoes_A01_Depth,Texture2D,2048,2048,2048×2048,4194304
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Textures/Role/T_AshleyBoss01_Skin_A01_D.T_AshleyBoss01_Skin_A01_D,T_AshleyBoss01_Skin_A01_D,Texture2D,2048,2048,2048×2048,4194304
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Textures/Role/T_AshleyBoss01_Skin_A01_E.T_AshleyBoss01_Skin_A01_E,T_AshleyBoss01_Skin_A01_E,Texture2D,1024,1024,1024×1024,1048576
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Textures/Role/T_AshleyBoss01_Skin_A01_LBMaskPS.T_AshleyBoss01_Skin_A01_LBMaskPS,T_AshleyBoss01_Skin_A01_LBMaskPS,Texture2D,512,512,512×512,262144
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Textures/Role/T_AshleyBoss01_Skin_A01_MRA.T_AshleyBoss01_Skin_A01_MRA,T_AshleyBoss01_Skin_A01_MRA,Texture2D,2048,2048,2048×2048,4194304
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Textures/Role/T_AshleyBoss01_Skin_A01_N.T_AshleyBoss01_Skin_A01_N,T_AshleyBoss01_Skin_A01_N,Texture2D,2048,2048,2048×2048,4194304
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Textures/Role/T_AshleyBoss01_Special_A01_D.T_AshleyBoss01_Special_A01_D,T_AshleyBoss01_Special_A01_D,Texture2D,2048,2048,2048×2048,4194304
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Boss/AshleyBoss/Textures/Weapon/T_AshleyBoss_MachineGun01_A_EMF.T_AshleyBoss_MachineGun01_A_EMF,T_AshleyBoss_MachineGun01_A_EMF,Texture2D,1024,1024,1024×1024,1048576
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_A_AnisoMaskSP.T_AshleyDefault_Body01_A_AnisoMaskSP,T_AshleyDefault_Body01_A_AnisoMaskSP,Texture2D,512,512,512×512,262144
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_A_D.T_AshleyDefault_Body01_A_D,T_AshleyDefault_Body01_A_D,Texture2D,2048,2048,2048×2048,4194304
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_A_EFMask.T_AshleyDefault_Body01_A_EFMask,T_AshleyDefault_Body01_A_EFMask,Texture2D,2048,2048,2048×2048,4194304
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_A_LBMaskSP.T_AshleyDefault_Body01_A_LBMaskSP,T_AshleyDefault_Body01_A_LBMaskSP,Texture2D,512,512,512×512,262144
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_A_MRA.T_AshleyDefault_Body01_A_MRA,T_AshleyDefault_Body01_A_MRA,Texture2D,1024,1024,1024×1024,1048576
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_A_N.T_AshleyDefault_Body01_A_N,T_AshleyDefault_Body01_A_N,Texture2D,2048,2048,2048×2048,4194304
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_A_WetMaskSP.T_AshleyDefault_Body01_A_WetMaskSP,T_AshleyDefault_Body01_A_WetMaskSP,Texture2D,1024,1024,1024×1024,1048576
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_B_AnisoMaskSP.T_AshleyDefault_Body01_B_AnisoMaskSP,T_AshleyDefault_Body01_B_AnisoMaskSP,Texture2D,512,512,512×512,262144
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_B_D.T_AshleyDefault_Body01_B_D,T_AshleyDefault_Body01_B_D,Texture2D,2048,2048,2048×2048,4194304
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_B_EFMask.T_AshleyDefault_Body01_B_EFMask,T_AshleyDefault_Body01_B_EFMask,Texture2D,2048,2048,2048×2048,4194304
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_B_LBMaskSP.T_AshleyDefault_Body01_B_LBMaskSP,T_AshleyDefault_Body01_B_LBMaskSP,Texture2D,512,512,512×512,262144
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_B_MRA.T_AshleyDefault_Body01_B_MRA,T_AshleyDefault_Body01_B_MRA,Texture2D,1024,1024,1024×1024,1048576
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_B_N.T_AshleyDefault_Body01_B_N,T_AshleyDefault_Body01_B_N,Texture2D,2048,2048,2048×2048,4194304
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_B_WetMaskSP.T_AshleyDefault_Body01_B_WetMaskSP,T_AshleyDefault_Body01_B_WetMaskSP,Texture2D,1024,1024,1024×1024,1048576
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_C_AnisoMaskSP.T_AshleyDefault_Body01_C_AnisoMaskSP,T_AshleyDefault_Body01_C_AnisoMaskSP,Texture2D,1,1,1×1,1
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_C_D.T_AshleyDefault_Body01_C_D,T_AshleyDefault_Body01_C_D,Texture2D,2048,2048,2048×2048,4194304
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_C_Grad.T_AshleyDefault_Body01_C_Grad,T_AshleyDefault_Body01_C_Grad,Texture2D,512,512,512×512,262144
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_C_MRA.T_AshleyDefault_Body01_C_MRA,T_AshleyDefault_Body01_C_MRA,Texture2D,1024,1024,1024×1024,1048576
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_C_N.T_AshleyDefault_Body01_C_N,T_AshleyDefault_Body01_C_N,Texture2D,2048,2048,2048×2048,4194304
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Body01_C_WetMaskSP.T_AshleyDefault_Body01_C_WetMaskSP,T_AshleyDefault_Body01_C_WetMaskSP,Texture2D,1024,1024,1024×1024,1048576
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_EyeTrans01_A_D.T_AshleyDefault_EyeTrans01_A_D,T_AshleyDefault_EyeTrans01_A_D,Texture2D,256,256,256×256,65536
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Face01_A_D.T_AshleyDefault_Face01_A_D,T_AshleyDefault_Face01_A_D,Texture2D,1024,1024,1024×1024,1048576
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Face01_A_DynAO.T_AshleyDefault_Face01_A_DynAO,T_AshleyDefault_Face01_A_DynAO,Texture2D,512,512,512×512,262144
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Face01_A_LBMaskPS.T_AshleyDefault_Face01_A_LBMaskPS,T_AshleyDefault_Face01_A_LBMaskPS,Texture2D,512,512,512×512,262144
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Face01_A_SDF.T_AshleyDefault_Face01_A_SDF,T_AshleyDefault_Face01_A_SDF,Texture2D,1024,1024,1024×1024,1048576
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Hair01_A_AnisoMaskPS.T_AshleyDefault_Hair01_A_AnisoMaskPS,T_AshleyDefault_Hair01_A_AnisoMaskPS,Texture2D,512,512,512×512,262144
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Hair01_A_D.T_AshleyDefault_Hair01_A_D,T_AshleyDefault_Hair01_A_D,Texture2D,2048,2048,2048×2048,4194304
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Hair01_A_LBMaskPS.T_AshleyDefault_Hair01_A_LBMaskPS,T_AshleyDefault_Hair01_A_LBMaskPS,Texture2D,512,512,512×512,262144
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Hair01_A_N.T_AshleyDefault_Hair01_A_N,T_AshleyDefault_Hair01_A_N,Texture2D,2048,2048,2048×2048,4194304
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Hair01_A_PromMask.T_AshleyDefault_Hair01_A_PromMask,T_AshleyDefault_Hair01_A_PromMask,Texture2D,1024,1024,1024×1024,1048576
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Hair01_A_WetMaskSP.T_AshleyDefault_Hair01_A_WetMaskSP,T_AshleyDefault_Hair01_A_WetMaskSP,Texture2D,1024,1024,1024×1024,1048576
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Hat01_A_D.T_AshleyDefault_Hat01_A_D,T_AshleyDefault_Hat01_A_D,Texture2D,512,512,512×512,262144
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Hat01_A_LBMaskSP.T_AshleyDefault_Hat01_A_LBMaskSP,T_AshleyDefault_Hat01_A_LBMaskSP,Texture2D,128,128,128×128,16384
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Hat01_A_MRA.T_AshleyDefault_Hat01_A_MRA,T_AshleyDefault_Hat01_A_MRA,Texture2D,256,256,256×256,65536
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Hat01_A_N.T_AshleyDefault_Hat01_A_N,T_AshleyDefault_Hat01_A_N,Texture2D,1024,1024,1024×1024,1048576
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Hat01_A_WetMaskSP.T_AshleyDefault_Hat01_A_WetMaskSP,T_AshleyDefault_Hat01_A_WetMaskSP,Texture2D,256,256,256×256,65536
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Shoes01_A_GLFlash.T_AshleyDefault_Shoes01_A_GLFlash,T_AshleyDefault_Shoes01_A_GLFlash,Texture2D,128,128,128×128,16384
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Role/Textures/T_AshleyDefault_Skin01_A_WetMaskSP.T_AshleyDefault_Skin01_A_WetMaskSP,T_AshleyDefault_Skin01_A_WetMaskSP,Texture2D,512,512,512×512,262144
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Weapon/Textures/T_AshleyDefault_MachineGun01_A_D.T_AshleyDefault_MachineGun01_A_D,T_AshleyDefault_MachineGun01_A_D,Texture2D,1024,1024,1024×1024,1048576
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Weapon/Textures/T_AshleyDefault_MachineGun01_A_MRA.T_AshleyDefault_MachineGun01_A_MRA,T_AshleyDefault_MachineGun01_A_MRA,Texture2D,512,512,512×512,262144
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Weapon/Textures/T_AshleyDefault_MachineGun01_A_N.T_AshleyDefault_MachineGun01_A_N,T_AshleyDefault_MachineGun01_A_N,Texture2D,512,512,512×512,262144
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Weapon/Textures/T_AshleyDefault_MachineGun01_B_D.T_AshleyDefault_MachineGun01_B_D,T_AshleyDefault_MachineGun01_B_D,Texture2D,1024,512,1024×512,524288
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Weapon/Textures/T_AshleyDefault_MachineGun01_B_MRA.T_AshleyDefault_MachineGun01_B_MRA,T_AshleyDefault_MachineGun01_B_MRA,Texture2D,512,256,512×256,131072
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Weapon/Textures/T_AshleyDefault_MachineGun01_B_N.T_AshleyDefault_MachineGun01_B_N,T_AshleyDefault_MachineGun01_B_N,Texture2D,1024,512,1024×512,524288
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Weapon/Textures/T_AshleyDefault_Sword01_A_D.T_AshleyDefault_Sword01_A_D,T_AshleyDefault_Sword01_A_D,Texture2D,1024,1024,1024×1024,1048576
Boss/AshleyBoss/Default,Boss/AshleyBoss,SilverPalace/Content/ArtRes/CharRes/Hero/Ashley/Default/Weapon/Textures/T_AshleyDefault_Sword01_A_MRA.T_AshleyDefault_Sword01_A_MRA,T_AshleyDefault_Sword01_A_MRA,Texture2D,512,512,512×512,262144
