logical_character_id,category,display_name,assembly_count,assembly_ids,visual_variants,states,unique_mesh_count,unique_skeleton_count,animation_count_all_unique,animation_count_core_unique,texture_count_unique
Boss/AshleyBoss,Boss,AshleyBoss,2,Boss/AshleyBoss/Default|Boss/AshleyBoss/InCar,Default,Default|InCar,17,8,367,324,101
Boss/ChavAlex,Boss,ChavAlex,1,Boss/ChavAlex/Default,Default,Default,6,4,113,113,41
Boss/ChavBobo,Boss,ChavBobo,1,Boss/ChavBobo/Default,Default,Default,5,3,133,128,37
Boss/ChavCaesar,Boss,ChavCaesar,1,Boss/ChavCaesar/Default,Default,Default,5,3,118,118,34
Boss/EliteKnight,Boss,EliteKnight,1,Boss/EliteKnight/Default,Default,Default,6,6,71,71,33
Boss/KnightStatue,Boss,KnightStatue,1,Boss/KnightStatue/Default,Default,Default,3,3,100,86,22
Boss/KnightStatueScb,Boss,KnightStatueScb,1,Boss/KnightStatueScb/Default,Default,Default,1,1,100,94,22
Boss/Manager,Boss,Manager,1,Boss/Manager/Default,Default,Default,8,8,150,104,15
Boss/Paraffin,Boss,Paraffin,1,Boss/Paraffin/Default,Default,Default,4,4,239,202,16
Boss/Predator,Boss,Predator,1,Boss/Predator/Default,Default,Default,1,1,90,90,14
Boss/QuarterBack,Boss,QuarterBack,1,Boss/QuarterBack/Default,Default,Default,3,2,104,104,25
Boss/RedBack,Boss,RedBack,1,Boss/RedBack/Default,Default,Default,2,2,143,94,32
Boss/RexBoss,Boss,RexBoss,1,Boss/RexBoss/Default,Default,Default,8,2,264,156,67
Boss/Supervisor,Boss,Supervisor,1,Boss/Supervisor/Default,Default,Default,7,7,173,153,26
Boss/Vulture,Boss,Vulture,1,Boss/Vulture/Default,Default,Default,1,1,74,74,40
Hero/Alf,Hero,Alf,2,Hero/Alf/Default/Combat|Hero/Alf/Default/Show,Default,Combat|Show,10,6,1686,948,90
Hero/Argos,Hero,Argos,2,Hero/Argos/Default/Combat|Hero/Argos/Default/Show,Default,Combat|Show,10,6,877,776,59
