library_id,npc_class,library_kind,mesh_count,skeletal_mesh_count,static_mesh_count,unique_skeleton_count,texture_count
NPC/Class_B/Children/Child,Class_B,skeletal_archetype,8,8,0,1,41
NPC/Class_B/Female/Girl,Class_B,skeletal_archetype,8,8,0,1,39
NPC/Class_B/Female/MidWoman,Class_B,skeletal_archetype,12,12,0,1,54
NPC/Class_B/Female/OldWoman,Class_B,skeletal_archetype,5,5,0,1,26
NPC/Class_B/Female/Woman,Class_B,skeletal_archetype,61,61,0,1,239
NPC/Class_B/Female/YoungWoman,Class_B,skeletal_archetype,80,80,0,1,313
NPC/Class_B/Male/Boy,Class_B,skeletal_archetype,9,9,0,1,43
NPC/Class_B/Male/Man,Class_B,skeletal_archetype,30,30,0,1,117
NPC/Class_B/Male/MidMan,Class_B,skeletal_archetype,32,32,0,1,114
NPC/Class_B/Male/OldMan,Class_B,skeletal_archetype,9,9,0,1,42
NPC/Class_B/Male/YoungMan,Class_B,skeletal_archetype,58,58,0,1,216
NPC/Class_B/Skeleton,Class_B,master_mesh,11,11,0,11,0
NPC/Class_BC/Class_B/Female/YoungWoman,Class_BC,skeletal_archetype,6,6,0,3,33
NPC/Class_BC/Class_B/Male/YoungMan,Class_BC,skeletal_archetype,11,11,0,2,50
NPC/Class_BC/Class_B/Skeleton,Class_BC,master_mesh,1,1,0,1,0
NPC/Class_BC/Class_C/Female/YoungWoman,Class_BC,skeletal_archetype,96,96,0,1,321
NPC/Class_BC/Class_C/Male/YoungMan,Class_BC,skeletal_archetype,23,23,0,1,93
NPC/Class_BC/Skeleton,Class_BC,master_mesh,2,2,0,2,0
NPC/Class_C/Children/Child,Class_C,skeletal_archetype,2,2,0,1,11
NPC/Class_C/Crowd/CrowdYoungMan,Class_C,skeletal_archetype,3,3,0,1,12
NPC/Class_C/Crowd/CrowdYoungWoman,Class_C,skeletal_archetype,2,2,0,1,8
NPC/Class_C/Crowd/Skeleton,Class_C,master_mesh,2,2,0,2,5
NPC/Class_C/Female/Woman,Class_C,skeletal_archetype,1,1,0,1,3
NPC/Class_C/Female/YoungWoman,Class_C,skeletal_archetype,4,4,0,1,21
NPC/Class_C/Male/Man,Class_C,skeletal_archetype,1,1,0,1,8
NPC/Class_C/Male/MobileYoungMan,Class_C,skeletal_archetype,2,2,0,1,10
NPC/Class_C/Male/YoungMan,Class_C,skeletal_archetype,4,4,0,1,21
NPC/Class_C/VAT_Pedestrian/CrowdYoungMan,Class_C,vat_parts,7,0,7,0,28
NPC/Class_C/VAT_Pedestrian/CrowdYoungWoman,Class_C,vat_parts,7,0,7,0,28
NPC/Class_C/VAT_Pedestrian/Man,Class_C,vat_parts,22,0,22,0,106
NPC/Class_C/VAT_Pedestrian/MidMan,Class_C,vat_parts,2,0,2,0,5
NPC/Class_C/VAT_Pedestrian/MidWoman,Class_C,vat_parts,3,0,3,0,8
NPC/Class_C/VAT_Pedestrian/Woman,Class_C,vat_parts,139,0,139,0,580
NPC/Class_C/VAT_Pedestrian/YoungMan,Class_C,vat_parts,70,0,70,0,321
NPC/Class_C/VAT_Pedestrian/YoungWoman,Class_C,vat_parts,186,0,186,0,804
NPC/Class_D/Children/Child,Class_D,skeletal_archetype,2,2,0,1,11
NPC/Class_D/Female/Girl,Class_D,skeletal_archetype,2,2,0,1,10
NPC/Class_D/Female/MidWoman,Class_D,skeletal_archetype,2,2,0,1,10
NPC/Class_D/Female/OldWoman,Class_D,skeletal_archetype,4,4,0,1,19
NPC/Class_D/Female/Woman,Class_D,skeletal_archetype,12,12,0,1,53
NPC/Class_D/Female/YoungWoman,Class_D,skeletal_archetype,10,10,0,1,44
NPC/Class_D/Male/Boy,Class_D,skeletal_archetype,2,2,0,1,10
NPC/Class_D/Male/Man,Class_D,skeletal_archetype,14,14,0,1,61
NPC/Class_D/Male/MidMan,Class_D,skeletal_archetype,2,2,0,1,10
NPC/Class_D/Male/OldMan,Class_D,skeletal_archetype,4,4,0,1,17
NPC/Class_D/Male/YoungMan,Class_D,skeletal_archetype,10,10,0,1,45
NPC/Class_D/Skeleton,Class_D,master_mesh,11,11,0,11,0
